YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2010/03|NIQ|IN|419
2010/03|NIQ|M|126
2010/04|MAF|D|12
2010/04|MAF|IN|20
2010/04|MAF|M|45
2010/04|NIQ|*|1
2010/04|NIQ|D|38
2010/04|NIQ|IN|365
2010/04|NIQ|M|102
2010/04|NIQ|O|1
2010/05|MAF|D|8
2010/05|MAF|IN|34
2010/05|MAF|M|40
2010/05|NIQ|D|47
2010/05|NIQ|IN|410
2010/05|NIQ|M|113
2010/06|MAF|D|6
2010/06|MAF|IN|23
2010/06|MAF|M|30
2010/06|NIQ|*|1
2010/06|NIQ|D|43
2010/06|NIQ|IN|342
2010/06|NIQ|M|104
2010/07|MAF|*|1
2010/07|MAF|D|7
2010/07|MAF|IN|32
2010/07|MAF|M|49
2010/07|NIQ|D|32
2010/07|NIQ|IN|321
2010/07|NIQ|M|109
2010/08|MAF|D|8
2010/08|MAF|IN|42
2010/08|MAF|M|40
2010/08|NIQ|D|34
2010/08|NIQ|IN|288
2010/08|NIQ|M|118
2010/08|NIQ|O|1
2010/09|MAF|D|8
2010/09|MAF|IN|32
2010/09|MAF|M|52
2010/09|NIQ|D|53
2010/09|NIQ|IN|314
2010/09|NIQ|M|105
2010/10|MAF|D|6
2010/10|MAF|IN|43
2010/10|MAF|M|46
2010/10|NIQ|*|1
2010/10|NIQ|D|60
2010/10|NIQ|IN|411
2010/10|NIQ|M|100
2010/11|MAF|D|17
2010/11|MAF|IN|30
2010/11|MAF|M|48
2010/11|NIQ|*|1
2010/11|NIQ|D|53
2010/11|NIQ|IN|405
2010/11|NIQ|M|131
2010/12|MAF|D|12
2010/12|MAF|IN|37
2010/12|MAF|M|42
2010/12|NIQ|*|3
2010/12|NIQ|D|62
2010/12|NIQ|IN|413
2010/12|NIQ|M|161
2011/01|MAF|*|1
2011/01|MAF|D|6
2011/01|MAF|IN|38
2011/01|MAF|M|52
2011/01|NIQ|D|72
2011/01|NIQ|IN|380
2011/01|NIQ|M|141
2011/02|MAF|D|16
2011/02|MAF|IN|41
2011/02|MAF|M|44
2011/02|NIQ|*|2
2011/02|NIQ|D|63
2011/02|NIQ|IN|371
2011/02|NIQ|M|129
2011/03|MAF|D|11
2011/03|MAF|IN|60
2011/03|MAF|M|59
2011/03|NIQ|*|1
2011/03|NIQ|D|60
2011/03|NIQ|IN|404
2011/03|NIQ|M|178
2011/04|MAF|D|5
